"dt","brand","framework","ads_format","impression","click","cost","order_cnt","pay_amount","new_customer_cnt","new_customer_cost","new_customer_pay_amount","cost_ly","pay_amount_ly","new_customer_cnt_ly","new_customer_cost_ly","new_customer_pay_amount_ly","cost_target","pay_amount_target","new_customer_cnt_target","new_customer_cost_target"
"2026-01-02","W Polo","Foundation","ZTC","4297","172","311.26","10","2179.61","3","98.37","602.37","332.13","2418.8","3","90.96","569.18","319.35","1977.23","3","94.27"
"2026-01-02","W Polo","Foundation","YLMF","3940","135","446.61","10","1812.9","4","154.66","528.81","457.52","1562.41","3","126.32","446.32","485.71","1850.5","4","164.32"
"2026-01-02","W Polo","Foundation","QZT","3212","121","395.32","4","685.54","1","157.39","153.81","352.97","782.66","1","137.33","140.93","396.96","622.59","1","163.62"
"2026-01-03","M Polo","Acceleration","ZTC","9388","287","640.15","10","2319.14","3","310.26","476.91","552.89","2059.94","2","298.29","450.86","701.09","2534.2","3","321.12"
"2026-01-03","M Polo","Acceleration","YLMF","7325","467","759.85","12","1413.08","3","290.78","429.06","718.25","1537.99","3","273.75","350.25","814.82","1273.6","3","292.93"
"2026-01-03","M Polo","Acceleration","QZT","4834","259","766.86","14","1716.91","5","377.33","388.41","736.89","1657.96","5","394.47","392.99","729.46","1721.3","5","395.49"
"2026-01-03","M Polo","Foundation","ZTC","7887","299","516.71","17","3373.13","5","253.38","944.97","497.02","3436.03","4","258.89","1041.29","524.7","3053.67","5","276.26"
"2026-01-03","M Polo","Foundation","YLMF","6349","286","732.31","7","1219.87","1","234.83","409.45","798.63","1364.29","1","269.2","415.68","785.3","1156.98","1","231.31"
"2026-01-03","M Polo","Foundation","QZT","3855","240","722.99","18","4088.67","7","329.47","850.09","792.57","3441.28","7","325.99","804.16","690.84","4032.53","6","342.85"
"2026-01-03","M Polo","T-shirt","ZTC","4081","145","338.21","9","1334.32","2","102.19","409.87","362.2","1404.86","2","101.23","423.8","362.34","1448.02","2","101.26"
"2026-01-03","M Polo","T-shirt","YLMF","3384","131","415.19","3","300.71","1","186.98","61.73","428.6","343.77","1","173.34","54","448.79","302.17","1","204.18"
"2026-01-03","M Polo","T-shirt","QZT","2704","92","145.6","6","1491.91","2","65.39","343.96","164.49","1315.66","2","63.94","273.22","145.09","1601.08","2","59.31"
"2026-01-03","M Polo","Complemen","ZTC","3101","120","246.15","7","799.33","2","106.56","233.92","261.11","672.33","2","98.36","215.15","265.21","794.87","2","111.89"
"2026-01-03","M Polo","Complemen","YLMF","2172","137","242.4","8","1683.72","2","77.04","546.26","217.64","1455.92","2","75.84","518.26","254.66","1665.39","2","73.6"
"2026-01-03","M Polo","Complemen","QZT","1605","68","184.1","3","512.56","1","69.1","114.4","160.02","516.51","1","75.89","109.05","185.51","493.1","1","67.18"
"2026-01-03","W Polo","Acceleration","ZTC","5769","183","358.91","8","788.19","3","121.06","256.97","412.3","777.87","3","100.69","213.87","365.03","749.37","3","112.53"
"2026-01-03","W Polo","Acceleration","YLMF","5544","202","327.9","10","2620.74","3","148.07","731.6","330.75","2934.22","2","169.11","739.35","350.88","2704.22","3","137.29"
"2026-01-03","W Polo","Acceleration","QZT","4095","189","573.47","14","1463.18","4","219.9","391.41","559.2","1606.69","4","180.85","427.94","557.39","1548.76","4","213.76"
"2026-01-03","W Polo","Foundation","ZTC","5901","212","649.21","16","2131.5","5","256.14","690.1","659.96","2297.51","4","282.27","612.65","688.17","1933.63","5","234.1"
"2026-01-03","W Polo","Foundation","YLMF","4875","312","834.04","10","1993.67","3","357.7","401.61","811.66","2002.52","2","344.21","408.95","888.26","1894.21","3","342.76"
"2026-01-03","W Polo","Foundation","QZT","2885","145","479.41","5","794.92","2","172.05","170.77","487.49","861.11","2","173","133.04","463.94","818.1","2","181.98"
"2026-01-04","M Polo","Acceleration","ZTC","8303","561","1864.63","16","1940.71","5","610.4","647.71","2049.99","1569.21","5","565.53","714.95","1779","2093.2","5","555.87"
"2026-01-04","M Polo","Acceleration","YLMF","7411","378","947.44","27","5053.26","4","339.6","1105.3","1085.68","5367.32","4","321.89","978.36","966.28","4983.01","4","365.56"
"2026-01-04","M Polo","Acceleration","QZT","5246","223","587.37","7","1919.21","3","266.24","482.59","592.24","2051.3","3","281.71","491.6","626.91","1873.52","3","240.65"
"2026-01-04","M Polo","Foundation","ZTC","7261","253","457.65","20","5178.27","7","194.01","1044.8","416.64","5667.22","7","187.07","989.84","473.11","5660.81","7","174.7"
"2026-01-04","M Polo","Foundation","YLMF","5995","319","999.76","24","6041.28","7","447.27","1654.18","1137.55","5450.29","6","418.46","1448.85","1094.77","6632.8","7","431.03"
"2026-01-04","M Polo","Foundation","QZT","3768","160","448.5","12","2684.43","3","219.52","594.35","472.89","2222.05","2","242.75","453.89","440.17","2916.39","3","226.95"
"2026-01-04","M Polo","T-shirt","ZTC","4047","251","570.37","7","1598.75","2","218.74","430.39","630.91","1608.01","2","222.79","475.43","616.66","1687.22","2","204.52"
"2026-01-04","M Polo","T-shirt","YLMF","3583","202","668.15","5","1398.32","1","316.67","438.25","587.83","1375.76","1","321.86","490.88","643.01","1387.74","1","325.88"
"2026-01-04","M Polo","T-shirt","QZT","2845","107","338.76","3","461.98","1","117.48","124.78","369.18","505.86","1","115.3","133.25","332.24","436.42","1","125.92"
"2026-01-04","M Polo","Complemen","ZTC","3087","127","261.17","7","1043.3","2","105.33","265.7","267.06","1196.4","2","115.34","297.96","267.92","1098.24","2","99.88"
"2026-01-04","M Polo","Complemen","YLMF","2093","112","261.42","9","1138.56","3","113.45","331.25","230.69","1033.85","2","100.2","288.81","260.91","1141.62","3","103.6"
"2026-01-04","M Polo","Complemen","QZT","1724","65","218.03","1","174.96","1","79.21","56.87","235.11","189.15","1","80.68","62.46","218.16","191.01","1","80.06"
"2026-01-04","W Polo","Acceleration","ZTC","5782","321","614.2","23","4118.76","6","258.99","1434.99","559.96","3783.16","5","218.68","1231.55","645.25","3844.7","6","277.77"
"2026-01-04","W Polo","Acceleration","YLMF","4639","246","611.01","8","1867.18","1","195.58","413.66","601.9","1532.43","1","223.68","349.53","669.49","1751.17","1","205.41"
"2026-01-04","W Polo","Acceleration","QZT","3670","239","735.1","7","2054.35","2","267.39","429.48","674.67","1790.8","2","280.05","406.38","712.98","2007.5","2","241.09"
"2026-01-04","W Polo","Foundation","ZTC","5110","231","627.14","10","1633.33","3","201.46","507.6","533.08","1509.3","3","161.69","577.29","630.33","1528.55","3","202.24"
"2026-01-04","W Polo","Foundation","YLMF","4318","180","291.82","11","1157","4","97.65","254.16","289.31","1264.73","3","93.05","288.19","317.78","1210.36","4","92.36"
"2026-01-04","W Polo","Foundation","QZT","3530","220","563.63","10","2704.19","2","245.93","721.51","643.15","2559.06","2","201.3","615.52","606.27","2849.52","2","269.11"
"2026-01-05","M Polo","Acceleration","ZTC","8156","276","808.82","11","1213.9","3","312.9","284.79","907.7","1293.04","3","283.36","218.18","820.31","1277.32","3","327.86"
"2026-01-05","M Polo","Acceleration","YLMF","6417","288","695.42","8","1626.4","1","261.33","382.17","621.18","1521.1","1","216.21","319.27","764.94","1588.62","1","286.86"
"2026-01-05","M Polo","Acceleration","QZT","4220","234","580.71","17","3532.95","4","185.44","790.73","660.5","3473.13","4","157.68","887.2","637.92","3226.08","4","186.13"
"2026-01-05","M Polo","Foundation","ZTC","5804","266","537.91","19","2131.62","3","197.56","457.18","617.6","1847.4","2","168.59","469.79","572.17","2161.38","3","179.85"
"2026-01-05","M Polo","Foundation","YLMF","4672","164","347.85","12","1137.49","2","129.45","393.17","358.54","1104.11","2","107.61","328.56","351.14","1087.56","2","134.5"
"2026-01-05","M Polo","Foundation","QZT","4198","292","705.08","8","769.08","2","233.31","246.44","723.52","626.16","2","187.16","210.86","750.75","716.51","2","250.96"
"2026-01-05","M Polo","T-shirt","ZTC","4165","282","953.79","17","1817.06","4","457.91","600.67","966.35","1832.91","4","367.46","637.83","1019.71","1928.83","4","503.61"
"2026-01-05","M Polo","T-shirt","YLMF","3484","186","325.82","14","1535.85","4","107.91","315.65","323.87","1282.42","4","122.76","279.46","344.84","1533.59","4","104.37"
"2026-01-05","M Polo","T-shirt","QZT","2383","104","340.17","2","462.78","1","139.94","111.75","343.18","525.02","1","150.93","119.91","335.73","435.11","1","133.36"
"2026-01-05","M Polo","Complemen","ZTC","2804","149","353.03","12","2667.26","3","161.34","790.35","368.09","2280.3","3","180.22","657.73","381.66","2503.38","3","159.52"
"2026-01-05","M Polo","Complemen","YLMF","1851","90","214.3","7","959.52","3","88.68","282.33","221.09","974.97","3","78.42","287.7","231.02","892.54","3","81.11"
"2026-01-05","M Polo","Complemen","QZT","1723","115","194.17","5","1464.79","2","62.15","375.11","167.72","1465.44","2","57.79","329.94","186.84","1399.24","2","60.46"
"2026-01-05","W Polo","Acceleration","ZTC","5012","297","587.9","11","2230.71","4","278.16","561.62","506.97","2370.06","3","261.58","639.04","585.26","2184.95","4","257.69"
"2026-01-05","W Polo","Acceleration","YLMF","5256","216","489.88","5","632.54","1","180.3","184.3","447.77","568.23","1","160.49","158.99","504.74","621.24","1","173.4"
"2026-01-05","W Polo","Acceleration","QZT","3753","175","278.16","12","1875.37","2","96.16","379.97","313.78","1646.53","2","109.67","296.58","275.49","1917.01","2","90.23"
"2026-01-05","W Polo","Foundation","ZTC","4242","127","427.65","5","1341.15","1","205.23","403.59","407.73","1279.61","1","170.48","425.3","420.01","1391.43","1","211.83"
"2026-01-05","W Polo","Foundation","YLMF","3859","267","708.38","11","2385.96","2","234.54","500.03","662.59","2135.93","2","239.87","402.44","674.19","2600.48","2","215.3"
"2026-01-05","W Polo","Foundation","QZT","2813","130","452.32","3","854.45","1","148.83","186.09","384.75","909.67","1","167.5","152.03","430.28","822.79","1","146.31"
"2026-01-06","M Polo","Acceleration","ZTC","8262","456","841.74","32","6012.99","12","383.53","1399.91","859.68","6844.93","12","311.72","1166.18","853.79","5839.32","12","396.54"
"2026-01-06","M Polo","Acceleration","YLMF","6681","275","680.99","16","3341.94","6","263.04","779.72","705.56","3050.89","5","222.77","621.33","673.86","3023.36","6","274.7"
"2026-01-06","M Polo","Acceleration","QZT","4275","183","397.12","6","1710.71","2","135.93","549.34","380.43","1495.47","2","112.65","586.57","396.76","1733.92","2","135.87"
"2026-01-06","M Polo","Foundation","ZTC","5857","184","278.5","12","1400.37","4","124.86","412.21","309.43","1414.31","4","103.59","384","293.95","1411.03","4","124.51"
"2026-01-06","M Polo","Foundation","YLMF","4613","145","288.43","7","1883.01","2","102.49","610.26","264.71","1894.84","2","87.01","659.28","317.07","1944.85","2","104.94"
"2026-01-06","M Polo","Foundation","QZT","3318","230","406.92","18","1805.13","5","170.37","526.1","353.47","2004.65","5","179.39","585.24","417.63","1641.13","5","163.84"
"2026-01-06","M Polo","T-shirt","ZTC","3446","177","302.86","4","634.99","1","135.08","217.82","342.92","561.4","1","131.19","167.23","315.18","683.5","1","144.12"
"2026-01-06","M Polo","T-shirt","YLMF","3216","167","504.5","9","873.49","3","217.05","282.31","549.44","975.03","3","181.58","247.85","485.38","926.21","3","217.8"
"2026-01-06","M Polo","T-shirt","QZT","2537","90","257.1","5","1157.41","2","97.93","402.88","230.2","1026.61","2","82.48","305.02","255.14","1223","2","89.54"
"2026-01-06","M Polo","Complemen","ZTC","2830","141","331.79","9","878.6","4","129.69","208.07","337.86","808.2","3","142.29","207.75","323.15","806.97","4","130.39"
"2026-01-06","M Polo","Complemen","YLMF","2212","133","365.08","5","1464.96","2","135.51","415.6","411.77","1325.61","2","141.64","441.24","380.83","1561.06","2","128.69"
"2026-01-06","M Polo","Complemen","QZT","1411","60","153.17","4","986.63","1","52.81","242.8","136.06","926.73","1","44.8","233.58","147.55","1007.72","1","52.71"
"2026-01-06","W Polo","Acceleration","ZTC","5787","182","563.99","12","3293.47","4","177.16","760.13","505.42","3421.97","4","175.5","807.8","596.83","3155.65","4","172.66"
"2026-01-06","W Polo","Acceleration","YLMF","5204","319","484.68","21","1723.57","6","184.03","596.66","534.2","1628.07","5","174.26","542.05","475.77","1670.14","6","176.24"
"2026-01-06","W Polo","Acceleration","QZT","3047","188","614.09","9","1402.53","3","240.21","395.95","633.2","1351.74","3","256.28","351.73","645.69","1541.38","3","223.74"
"2026-01-06","W Polo","Foundation","ZTC","4307","271","718.05","17","3253.28","4","272.99","1048.5","619.67","2910.06","3","293.45","1104.14","733","3030.38","4","272.62"
"2026-01-06","W Polo","Foundation","YLMF","3974","198","409.15","15","3134.91","3","168.07","732.39","397.58","2650.25","3","146.93","694.24","433.91","2868.58","3","159.29"
"2026-01-06","W Polo","Foundation","QZT","2494","127","328.02","7","1482.54","2","130.05","439.54","308.48","1369.95","2","138.78","478.4","360.62","1501.55","2","139.22"
"2026-01-07","M Polo","Acceleration","ZTC","6666","333","958.07","12","2468.78","4","291.43","676.56","843.25","2240.69","4","294.68","655.87","986.8","2678.71","4","292.52"
"2026-01-07","M Polo","Acceleration","YLMF","5995","332","1087.05","25","2094.8","5","500.25","504.18","1016.92","2266.73","4","480.91","491.01","1054.53","1932.59","5","514.48"
"2026-01-07","M Polo","Acceleration","QZT","4852","258","778.87","21","3904.13","8","314.74","825.94","778.53","3189.63","8","256.19","868.18","835.86","3927.76","8","303.87"
"2026-01-07","M Polo","Foundation","ZTC","6547","440","1053.25","33","2951.26","8","502.95","1020.38","985.81","3245.01","9","408.11","986.02","1028.01","3016.87","8","543.82"
"2026-01-07","M Polo","Foundation","YLMF","5668","249","661.42","13","3722.12","4","246.93","1216.54","665.13","3098.95","3","217.53","1171.33","726.05","3772.88","4","233.71"
"2026-01-07","M Polo","Foundation","QZT","3906","146","344.88","9","1974.8","2","163.6","402.22","313.31","1583.56","2","133.42","455.75","372.9","1835.43","2","174.94"
"2026-01-07","M Polo","T-shirt","ZTC","4375","163","520.76","11","2425.88","2","164.58","515.84","524.54","2163.75","2","174.31","542.55","562.76","2355.19","2","158.28"
"2026-01-07","M Polo","T-shirt","YLMF","3179","150","313.25","5","645.22","1","138.23","177.25","336.08","689.6","1","149.35","172.71","307.84","696.26","1","143.36"
"2026-01-07","M Polo","T-shirt","QZT","1972","90","168.84","4","1128.29","1","62.5","331.97","149.06","1281.49","1","56.22","307.45","163.8","1070.45","1","64.37"
"2026-01-07","M Polo","Complemen","ZTC","2375","140","215.72","8","1945.14","1","70.8","478.5","241.34","1820.5","1","63.65","543.24","206.38","2119.98","1","64.7"
"2026-01-07","M Polo","Complemen","YLMF","2264","156","486.49","11","2568.56","3","237.73","731.67","430.06","2204.01","3","207.98","637.31","508.4","2581.39","3","257.31"
"2026-01-07","M Polo","Complemen","QZT","1748","65","214.01","1","141.32","1","66.21","30.83","183.36","144.64","1","60.97","24.93","232.67","129.38","1","64.51"
"2026-01-07","W Polo","Acceleration","ZTC","5386","221","436.63","15","3051.21","3","137.73","650.07","453.42","3393.25","3","114.65","641.82","464.23","3226.1","3","125.38"
"2026-01-07","W Polo","Acceleration","YLMF","4035","246","825.31","5","1029.26","2","373.44","323.18","868.66","1098.06","2","327.59","367.4","815.14","1050.26","2","405.64"
"2026-01-07","W Polo","Acceleration","QZT","3301","132","334.3","4","670.59","1","155.05","229.25","349.4","638.79","1","125.57","211.31","361.91","637.43","1","142.49"
"2026-01-07","W Polo","Foundation","ZTC","5275","222","569.66","9","2128.77","3","225.07","428.43","635.61","2117.1","2","248.31","434.62","595.91","2281.87","3","232.37"
"2026-01-07","W Polo","Foundation","YLMF","3730","192","292.86","14","3235.44","5","94.21","690.98","329.89","2821","4","99.5","586.14","316.81","3333.28","5","101.22"
"2026-01-07","W Polo","Foundation","QZT","2812","118","229.02","7","1543.36","2","70.58","339.93","229.88","1398.02","2","58.42","389.48","244.89","1613.01","2","74.35"
"2026-01-08","M Polo","Acceleration","ZTC","7632","448","1391.96","14","1559.53","3","535.8","369.17","1513.05","1481.17","3","480.51","371.42","1463.75","1566.39","3","566.76"
"2026-01-08","M Polo","Acceleration","YLMF","5626","295","512.65","7","1739.87","3","253.44","549.74","462.56","1764.96","3","203.74","617.27","518.55","1722.99","3","252.34"
"2026-01-08","M Polo","Acceleration","QZT","4469","301","813.24","18","2544.5","7","373.41","642.93","898.28","2204.02","7","410.91","706.52","848.84","2353.09","7","351.05"
"2026-01-08","M Polo","Foundation","ZTC","6547","239","630.95","15","3552.9","5","294.24","931","719.61","3808.16","6","259.46","1017.72","601.09","3799.32","5","274.34"
"2026-01-08","M Polo","Foundation","YLMF","4779","256","824.88","7","2007.64","2","300.77","616.84","928.22","2119.2","2","336.91","537.15","905.81","1942.87","2","314.7"
"2026-01-08","M Polo","Foundation","QZT","4224","175","428.02","12","2772.2","2","194.25","667.52","403.69","2345.54","2","163.39","765.16","417.62","2991.62","2","202.42"
"2026-01-08","M Polo","T-shirt","ZTC","3664","189","569.37","5","1100.05","1","198.92","382.74","619.83","905.82","1","193.87","389.07","608.31","1127.19","1","184.05"
"2026-01-08","M Polo","T-shirt","YLMF","2781","146","441.16","6","1260.52","2","140.46","409.31","458.3","1238.62","2","141.74","458.74","456.08","1218.56","2","143.03"
"2026-01-08","M Polo","T-shirt","QZT","2401","149","413.46","9","1110.51","3","142.73","353.85","461.96","915.86","2","152.8","356.57","414.02","1046.18","3","153.13"
"2026-01-08","M Polo","Complemen","ZTC","2934","128","413.15","5","1231.75","1","178.84","295.45","352.03","1411.56","1","167.4","324.23","423.98","1174.82","1","163.63"
"2026-01-08","M Polo","Complemen","YLMF","1833","115","219.08","6","1782.75","2","89.16","515.33","232.24","1662.68","2","73.15","589.6","214.02","1703.95","2","81.36"
"2026-01-08","M Polo","Complemen","QZT","1569","110","258.77","4","1097.8","1","127.99","280.26","234.73","1181.37","1","120.41","212.72","267.67","1185.16","1","129.77"
"2026-01-08","W Polo","Acceleration","ZTC","5230","238","392.7","10","800.51","3","143.66","247.99","340.38","838.77","3","125.36","188.14","420.73","797.07","3","152.45"
"2026-01-08","W Polo","Acceleration","YLMF","5211","213","652.89","15","2075.78","3","225.83","453.54","710.99","2381.84","2","195.8","463.12","700.2","1879.53","3","222.03"
"2026-01-08","W Polo","Acceleration","QZT","3960","260","517.38","16","3291.56","4","165.26","921.95","568.29","2641.41","3","141.53","753.68","567.55","3614.14","4","155.89"
"2026-01-08","W Polo","Foundation","ZTC","4982","274","839.34","18","5114.07","4","393.74","1213.99","764.71","5097.86","3","389.46","1094.08","909.62","5330.84","4","402.07"
"2026-01-08","W Polo","Foundation","YLMF","4212","226","711.36","6","961.71","2","310.93","231.99","698","802.74","2","353.44","232.26","677.17","880.2","2","308.52"
"2026-01-08","W Polo","Foundation","QZT","2612","120","350.99","7","649.88","2","133.34","172.95","337.08","719.94","2","153.04","160.84","339.52","652.73","2","135.02"
"2026-01-09","M Polo","Acceleration","ZTC","6889","317","798.59","8","1099.74","3","254.93","300.09","796.29","950.48","3","229.57","294.17","824.48","1030.81","3","276.18"
"2026-01-09","M Polo","Acceleration","YLMF","6515","276","414.46","21","5212.65","8","159.52","1570.45","476.27","5904.8","9","143.32","1798.13","454.89","5185.2","8","145.64"
"2026-01-09","M Polo","Acceleration","QZT","5100","291","639.34","12","3412.82","4","270.61","769.23","652.37","3236.05","4","231.04","820.66","639.02","3513.6","4","272.41"
"2026-01-09","M Polo","Foundation","ZTC","6236","240","574.61","14","2327.7","4","182.18","614.03","533.95","2550.41","3","158.79","584.06","563.12","2270.1","4","182.57"
"2026-01-09","M Polo","Foundation","YLMF","5417","273","591.72","15","3747.97","5","223.02","1188.85","537.88","3730.43","5","219.13","989.08","617.24","3525.77","5","220.98"
"2026-01-09","M Polo","Foundation","QZT","3920","159","259.8","7","1274.66","1","91.62","433.81","272.66","1359.25","1","104.23","336.63","255.51","1191.35","1","87.62"
"2026-01-09","M Polo","T-shirt","ZTC","3997","142","490.64","11","2434.23","3","153.33","790.26","445.81","2681.66","3","171.16","611.41","482.59","2210.94","3","139.49"
"2026-01-09","M Polo","T-shirt","YLMF","3193","110","320.34","3","391.27","1","100.61","114.66","282.59","442.24","1","109.24","92.04","320.4","407.06","1","109.13"
"2026-01-09","M Polo","T-shirt","QZT","2639","86","299.68","4","1135.76","1","90.17","333.07","278.88","1064.86","1","73.14","330.51","308.84","1097.16","1","81.45"
"2026-01-09","M Polo","Complemen","ZTC","2631","85","242.16","3","508.96","1","116.58","129.04","244.71","507.5","1","93.85","100.07","249.2","509.83","1","108.09"
"2026-01-09","M Polo","Complemen","YLMF","1888","130","258.01","7","1643.91","2","113.61","436.35","293.66","1812.13","2","114.29","414.78","260.84","1704.1","2","104.87"
"2026-01-09","M Polo","Complemen","QZT","1648","92","223.84","6","1241.12","1","70.96","270.58","216.58","1076.39","1","71.85","225.12","241.72","1252.16","1","70.53"
"2026-01-09","W Polo","Acceleration","ZTC","5410","239","591.61","11","3030.67","4","292.58","964.02","582.2","2440.61","4","312.74","736.01","575.94","2949.7","4","318.81"
"2026-01-09","W Polo","Acceleration","YLMF","5002","323","675.87","15","3388.72","5","224.01","907.3","637.74","2908.34","5","244.19","954.7","743.24","3370.38","5","203.02"
"2026-01-09","W Polo","Acceleration","QZT","3051","131","353.42","8","2142.04","3","140.93","721.66","314.15","1843.8","2","130.09","644.65","337.63","2179.95","3","134.07"
"2026-01-09","W Polo","Foundation","ZTC","4196","240","826.95","5","1097.37","1","302.74","382.92","846","1083.05","1","343.74","393.08","787.74","1079.12","1","272.6"
"2026-01-09","W Polo","Foundation","YLMF","3319","105","226.55","4","1139.8","2","104.32","317.4","228.83","1155.66","2","87.1","359.14","219.67","1061.91","2","104.3"
"2026-01-09","W Polo","Foundation","QZT","3240","200","438.68","16","2953.14","5","155.16","890.93","409.29","2784.13","4","175.95","824.39","427.04","3117.67","5","150.69"
"2026-01-10","M Polo","Acceleration","ZTC","10125","526","1158.08","41","4626.64","14","386.88","1279.98","1019.24","5256.54","13","430.44","1278.98","1170.23","4226.56","15","363.08"
